,winner_index,loser_index
1158,1425,1098
1159,1098,1425
1160,1216,236
1161,478,902
1162,1277,1005
1163,258,128
1164,258,128
1165,128,258
1166,128,258
1167,718,1318
1168,710,971
1169,710,1150
1170,710,1150
1171,710,1150
1172,710,1150
1173,1150,710
1174,710,1150
1175,1334,816
1176,1038,313
1177,1364,803
1178,1069,1131
1179,1069,1131
1180,1131,1069
1181,1069,1131
1182,343,1131
1183,786,1421
1184,786,1421
1185,786,1421
1186,786,1421
1187,786,1421
1188,989,502
1189,502,989
1190,502,1331
1191,502,1331
1192,502,999
1193,1008,502
1194,502,999
1195,502,999
1196,502,693
1197,763,1081
1198,763,1081
1199,441,1421
1200,441,1421
1201,630,965
1202,630,965
1203,630,1159
1204,630,1159
1205,1038,512
1206,1038,512
1207,1038,512
1208,640,512
1209,640,512
1210,640,512
1211,640,512
1212,640,512
1213,640,512
1214,640,512
1215,640,512
1216,640,512
1217,640,512
1218,640,512
1219,640,512
1220,640,512
1221,640,512
1222,640,512
1223,640,512
1224,640,512
1225,640,512
1226,640,512
1227,640,512
1228,640,512
1229,640,512
1230,640,512
1231,640,512
1232,640,512
1233,640,512
1234,640,512
1235,640,512
1236,640,512
1237,6,1216
1238,1216,1010
1239,1216,1010
1240,1122,941
1241,539,941
1242,1141,941
1243,1209,941
1244,1291,1080
1245,1291,1080
1246,1291,1080
1247,1291,1080
1248,1291,1080
1249,1291,1080
1250,1291,1080
1251,1291,1080
1252,633,819
1253,633,819
1254,819,633
1255,633,819
1256,1208,1277
1257,1208,838
1258,875,1208
1259,1318,1208
1260,875,1208
1261,1208,875
1262,922,67
1263,922,67
1264,922,67
1265,67,922
1266,882,183
1267,1316,299
1268,1316,299
1269,1316,299
1270,1316,299
1271,989,502
1272,502,989
1273,502,1331
1274,502,1331
1275,502,999
1276,1008,502
1277,502,999
1278,502,999
1279,502,693
1280,763,1081
1281,763,1081
1282,441,1421
1283,441,1421
1284,630,965
1285,630,965
1286,630,1159
1287,630,1159
1288,351,1402
1289,574,7
1290,1361,574
1291,161,289
1292,161,178
1293,161,1169
1294,1073,670
1295,885,670
1296,730,670
1297,670,1366
1298,830,670
1299,670,162
1300,228,670
1301,670,607
1302,1394,670
1303,670,1145
1304,670,829
1305,535,670
1306,535,670
1307,1169,110
1308,1205,110
1309,1192,569
1310,846,569
1311,345,569
1312,569,345
1313,980,569
1314,569,750
1315,208,569
1316,530,569
1317,530,569
1318,496,569
1319,569,366
1320,569,1055
1321,529,569
1322,551,569
1323,569,289
1324,621,569
1325,843,569
1326,654,569
1327,569,425
1328,569,843
1329,1092,569
1330,112,569
1331,569,654
1332,569,1381
1333,662,569
1334,569,662
1335,569,287
1336,569,287
1337,1139,569
1338,259,82
1339,220,259
1340,478,948
1341,478,948
1342,948,793
1343,1020,948
1344,976,436
1345,436,976
1346,436,976
1347,436,976
1348,976,855
1349,1396,1117
1350,1396,627
1351,1396,627
1352,627,1396
1353,1396,627
1354,627,1396
1355,627,1396
1356,1173,513
1357,1173,513
1358,1173,513
1359,1173,513
1360,15,1068
1361,1068,11
1362,1068,1230
1363,15,1412
1364,152,1412
1365,15,1412
1366,15,1412
1367,593,452
1368,452,226
1369,593,452
1370,837,518
1371,518,185
1372,185,518
1373,185,518
1374,185,518
1375,185,518
1376,185,518
1377,185,518
1378,185,518
1379,185,518
1380,185,518
1381,185,518
1382,185,518
1383,962,518
1384,518,962
1385,185,518
1386,185,518
1387,185,518
1388,185,518
1389,185,518
1390,185,518
1391,185,518
1392,185,518
1393,185,518
1394,185,518
1395,185,518
1396,185,518
1397,185,518
1398,1313,518
1399,1045,211
1400,1045,211
1401,1045,211
1402,1045,211
1403,211,1045
1404,211,1188
1405,1188,211
1406,311,31
1407,311,468
1408,311,943
1409,311,943
1410,311,312
1411,311,312
1412,311,189
1413,311,189
1414,1099,491
1415,491,1099
1416,491,1099
1417,491,1099
1418,491,1099
1419,15,1099
1420,491,1099
1421,1224,484
1422,1224,484
1423,1224,484
1424,544,1145
1425,52,15
1426,52,1006
1427,52,1006
1428,15,52
1429,1415,1410
1430,1410,1415
1431,983,730
1432,228,983
1433,983,1201
1434,983,830
1435,588,411
1436,588,411
1437,588,411
1438,588,411
1439,902,411
1440,426,411
1441,200,384
1442,33,592
